"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"133","Renault Fluence 1.5 dCi Authentique
            2010 MODEL FLUENCE
                
                            
                            İlk Sahibi","2010",177000,"Gri",37950,"14 Mayıs 2017"," Yozgat Sorgun","Renault Fluence 1.5 ",35.2587964,36.9674013
"143","Renault Megane 1.6 Authentique
            2003 MODEL MEGAN 1.6 16V
                
                            
                            İlk Sahibi","2003",222000,"Lacivert",24750,"14 Mayıs 2017"," Yozgat Sorgun","Renault Megane 1.6 A",33.1145764,40.1329566
"153","Skoda SuperB 1.9 TDI Comfort
            GÜÇ KONFOR PRESTIJ Hepsi Bir Arada","2007",335000,"Füme",43000,"14 Mayıs 2017"," SamsunÇarşamba","Skoda SuperB 1.9 TDI",31.104447,36.917399
"163","Skoda Fabia 1.2 Classic
            HATASIZ LPG Lİ YAKIT CIMRISI FABİA","2005",140000,"Beyaz",27250,"14 Mayıs 2017"," Malatya Battalgazi","Skoda Fabia 1.2 Clas",29.2204548,40.9184004
"183","Volkswagen Jetta 1.6 TDi Comfortline
            ORİJİNAL İLK ELDEN ORJ KM COMFORTLİNE DİZEL JETTA","2012",88000,"Füme",63750,"14 Mayıs 2017"," Malatya Battalgazi","Volkswagen Jetta 1.6",30.769476,36.8827594
"193","Tofaş Doğan SLX ie
            ALICIYA ÖZEL","1998",250000,"Gri (Gümüş)",14250,"14 Mayıs 2017"," Kahramanmaraş Onikişubat","Tofaş Doğan SLX ie
",29.127778,40.983333
"203","Opel Corsa 1.4 Enjoy
            14 OPEL CORSA 61 KM DE MAKIMLI MASRAFSIZ","2008",61000,"Kırmızı",31750,"14 Mayıs 2017"," Elazığ Merkez","Opel Corsa 1.4 Enjoy",35.2587964,36.9674013
"213","Audi A6 3.0 TDI Quattro
            2014 A6 3.0TDI QUATTRO BAYİ MAKYAJLI VAKUM+HAFZA+GERİGRŞ BOYASIZ","2014",98000,"Siyah",307500,"14 Mayıs 2017"," Kocaeli Gebze","Audi A6 3.0 TDI Quat",35.2587964,36.9674013
"223","Volkswagen Passat 1.9 TDi Comfortline
            2001 PASSAT COMFORTLİNE BAKIMLI  KIRMIZI MOTOR","2001",117000,"Gri (Gümüş)",29500,"14 Mayıs 2017"," Elazığ Merkez","Volkswagen Passat 1.",26.5609857,41.7
"233","Opel Vectra 1.6 Elegance
            2003 OPEL VECTRA ELGANCE EN FULL DONANIMLI-BAKIMLI-MASRAFSIZ-LPG","2003",132000,"Kırmızı",30500,"14 Mayıs 2017"," Elazığ Merkez","Opel Vectra 1.6 Eleg",30.769476,36.8827594
"27","Volkswagen Jetta 1.6 TDi Comfortline
            AYHAN OTOMOTİV DEN 2012 JETTA CMFRTLNE TRİPTRNC 83 BİN KMDE","2012",83000,"Füme",68750,"14 Mayıs 2017"," Düzce Merkez","Volkswagen Jetta 1.6",31.3209348,40.7708616
"34","Mazda 626 2.0 GLX
            MAZDACI AYHAN DAN 98 MAZDA 626 TEK AİRBAG KLİİMA LPGLİ","1998",325000,"Şampanya",19990,"14 Mayıs 2017"," Düzce Merkez","Mazda 626 2.0 GLX
 ",27.8137319,41.155812
"44","Mazda 3 1.6 Sport Dynamic
            MAZDACI AYHAN DAN 2007 MAZDA3 MKYJLI KASA TOURİNG SNROFLU TRİPTRNC LPGLİ BKMLI","2007",165000,"Mavi (metalik)",38990,"14 Mayıs 2017"," Düzce Merkez","Mazda 3 1.6 Sport Dy",29.1739513,40.9498022
"53","Mazda 3 1.5 SkyActive-G Power Sense
            MAZDACI AYHAN DAN 2014 MAZDA3 POWERSENSE SKYACTİVE MOTOR BEYAZ 
                
                            
                            İlk Sahibi","2014",56000,"Beyaz",79750,"14 Mayıs 2017"," Düzce Merkez","Mazda 3 1.5 SkyActiv",27.8137319,41.155812
"74","Opel Astra 1.6 Classic
            OPEL ASTRA CLASSİC 1.6 16 WALF","1998",283295,"Mavi (metalik)",21000,"14 Mayıs 2017"," GaziantepŞehitkamil","Opel Astra 1.6 Class",27.2911248,38.3337361
