"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"104","Renault Fluence 1.6 Privilege
            2010 RENAULT FLUENCE PRİVİLEGE TEMİZ FULL","2010",150000,"Siyah",38000,"14 Mayıs 2017"," Elazığ Merkez","Renault Fluence 1.6 ",34.6414028,38.5977511
"115","Audi A4 1.8 T
            99 Audi A4 Hatasız Orjinal Binici Aracı","1999",208000,"Gri",31750,"14 Mayıs 2017"," Manisa Salihli","Audi A4 1.8 T
     ",43.3729793,38.5012085
"125","Opel Astra 1.6 GL
            OPEL ASTRA KLİMALI ABS BAKIMLI MASRAFSIZ TEMİZ","1999",228000,"Gri (Gümüş)",23250,"14 Mayıs 2017"," Elazığ Merkez","Opel Astra 1.6 GL
 ",41.1243068,37.8259651
"135","Ford Focus 1.6 Ghia
            2001 Ford Focus Ghia En Full Modeli Masrafsız","2001",140000,"Lacivert",24500,"14 Mayıs 2017"," Elazığ Merkez","Ford Focus 1.6 Ghia",29.0576298,40.9818744
"145","Peugeot 407 2.0 HDi Executive Premium
            2007 MODEL PEUGEOT 407 2.0 HDI EXECUTİVE PREMİUM OTOMOTİK İLKEL FULtFUL HATASIZ ACİLL
                
                            
                            İlk Sahibi","2007",230000,"Bordo",36500,"14 Mayıs 2017","İstanbul Kartal","Peugeot 407 2.0 HDi ",27.1382404,38.3231215
"155","Hyundai i20 1.2 MPI Style
            2016 İ20 12STYLE NAVİGASYONLU 27000KMDE BOYASIZ 15DKDA KREDİ
                
                            
                            Yeni Gibi","2016",27000,"Kahverengi",49500,"14 Mayıs 2017","İstanbulÇekmeköy","Hyundai i20 1.2 MPI ",32.832889,36.077286
"165","Renault Clio 1.4 RNA
            YEDİİKLİM DEN SORUNSUZ CLİO KLİMALI FULL BAKIMLI","2001",161000,"Lacivert",16750,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault Clio 1.4 RNA",30.4588059,40.7426859
"185","Fiat Siena 1.6 HL
            TEMİZ BAKIMLI 1998 MODEL","2000",180000,"Lacivert",14500,"14 Mayıs 2017"," Mardin Midyat","Fiat Siena 1.6 HL
 ",34.6414028,38.5977511
"195","BMW 5 Serisi 520d Premium
            2007 BMW 520d PREMİUM FULL BAKIMLI SUNROOFLU TAKAS OLUR","2007",233000,"Gri (Gümüş)",74000,"14 Mayıs 2017","İstanbulÇekmeköy","BMW 5 Serisi 520d Pr",35.6969984,38.7511567
"205","Ford Focus 1.6 TDCi Trend
            2006 Focus 1.6 TDCI İÇİ BEJ","2006",219000,"Gri",31500,"14 Mayıs 2017"," Manisa Salihli","Ford Focus 1.6 TDCi ",32.9888319,37.8232112
"215","Volkswagen Golf 1.6 Trendline
            ERDEN OTOMOTİV VOLKSWAGEN GOLF","2000",225000,"Siyah",27500,"14 Mayıs 2017"," Eskişehir Odunpazarı","Volkswagen Golf 1.6 ",39.3124988,37.7506386
"225","Renault Symbol 1.4 Authentique
            2008 RENAULT CLİO-1,4 LPG-Lİ BAKIMLI MASRAFSIZ","2008",140000,"Bej",26000,"14 Mayıs 2017"," Elazığ Merkez","Renault Symbol 1.4 A",29.0576298,40.9818744
"235","Hyundai i20 1.2 D-CVVT Jump
            __2014 MODEL__HATASIZZ__BOYASIZZ__
                
                            
                            İlk Sahibi","2014",76000,"Gri (Gümüş)",35950,"14 Mayıs 2017","İstanbul Ataşehir","Hyundai i20 1.2 D-CV",32.832889,36.077286
"29","Renault Clio 1.4 RNA
            YEDİİKLİM DEN ORJİNAL DEĞİŞENSİZ 1.4 CLİO","2000",2e+05,"Gri (Gümüş)",17750,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault Clio 1.4 RNA",34.6414028,38.5977511
"36","Hyundai Accent Era 1.4 Team
            2010 MODEL_İLK SAHBDEN_49 BİN KM DE_ABS'Lİ
                
                            
                            İlk Sahibi","2010",49000,"Siyah",36850,"14 Mayıs 2017","İstanbul Ataşehir","Hyundai Accent Era 1",29.3482646,40.9847981
"46","Hyundai i20 1.2 MPI Style
            2016 MODEL_HATASIZ_BOYASIZ_SIFIR AYARINDA_
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",16000,"Beyaz",50950,"14 Mayıs 2017","İstanbul Ataşehir","Hyundai i20 1.2 MPI ",29.2204548,40.9184004
"55","Citroen C3 1.4 HDi SX
            NAZHANDAN","2004",188000,"Gri (Gümüş)",17500,"14 Mayıs 2017","İstanbul Avcılar","Citroen C3 1.4 HDi S",35.2587964,36.9674013
"76","Volkswagen Passat 1.6
            TEMİZ BAKIMLI MASRAFSIZ","2005",256000,"Siyah",41000,"14 Mayıs 2017"," Mardin Midyat","Volkswagen Passat 1.",28.7780987,41.0212376
"86","Citroen C-Elysee 1.2 VTi Exclusive
            YEDİİKLİM DEN C-ELİZE GÖRÜLMEYE DEĞER EN DOLUSU VE FUL OLANI
                
                            
                            İlk Sahibi","2014",116000,"Beyaz",33500,"14 Mayıs 2017"," GaziantepŞehitkamil","Citroen C-Elysee 1.2",29.3482646,40.9847981
"96","Renault Clio 1.5 dCi Authentique
            KOŞUN-TUR OTOMOTİVDEN 2008 DİZEL CLİO III ORJİNAL","2008",186000,"Gri",28000,"14 Mayıs 2017","İzmir Aliağa","Renault Clio 1.5 dCi",32.832889,36.077286
"105","Toyota Corolla 1.3 ECO
            KOŞUN-TUR OTOMOTİVDEN 1999 TOYOTA COROLLA","1999",140000,"Gri",18500,"14 Mayıs 2017","İzmir Aliağa","Toyota Corolla 1.3 E",39.3124988,37.7506386
"116","Fiat Marea 1.6 ELX
            KOŞUN-TUR OTOMOTİVDEN 1997 KLIMALI Marea 1.6","1997",2e+05,"Gri",16500,"14 Mayıs 2017","İzmir Aliağa","Fiat Marea 1.6 ELX
",29.1782018,41.1429436
"126","Ford Fiesta 1.5 TDCi Trend
            ATA HYUNDAI PLAZADAN 2014 MODEL FORD FİESTA 1.5 TDCI TREND","2014",113000,"Beyaz",44750,"14 Mayıs 2017"," AnkaraÇankaya","Ford Fiesta 1.5 TDCi",39.3124988,37.7506386
"136","Geely Echo 1.3 Comfort
            KOŞUN-TUR OTOMOTİVDEN 2010 GEELY KLIMA FULL 68000KM","2010",68000,"Siyah",16500,"14 Mayıs 2017","İzmir Aliağa","Geely Echo 1.3 Comfo",32.144701,39.585047
"146","Renault Megane 1.5 dCi Exception
            BEY OTOMOTİV'DEN MEGANE II 1.5 DCİ EXPRESSİON","2008",241000,"Gri",32000,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault Megane 1.5 d",35.2587964,36.9674013
"156","Renault Megane 1.5 dCi Authentique
            BEY OTOMOTİV'DEN MEGANE II 1.5 DCİ OTANTİK","2008",254000,"Gri",29500,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault Megane 1.5 d",29.0227159,40.1794309
"166","Kia Cerato 1.6 CRDi Concept Plus
            KIA BAYİ TEKKAR'DAN 2016 MODEL 28 BİNDE BAKIMLI VE HATASIZ...
                
                            
                            Yeni Gibi","2016",28299,"Gri",81950,"14 Mayıs 2017","İstanbul Kartal","Kia Cerato 1.6 CRDi ",32.9888319,37.8232112
"186","Citroen C3 1.4 HDi Confort
            ULUGÖL^DEN 2012 CONFORT PLUS C-3 48.500 KM
                
                            
                            İlk Sahibi","2012",48500,"Gri (Gümüş)",38900,"14 Mayıs 2017","İstanbul Ataşehir","Citroen C3 1.4 HDi C",39.3124988,37.7506386
"196","Dacia Logan 1.4 Ambiance
            DEĞİŞENSİZ  BOYASIZ  LOGAN","2005",230000,"Bordo",24500,"14 Mayıs 2017","Çorum Sungurlu","Dacia Logan 1.4 Ambi",36.571247,40.672726
"206","BMW 1 Serisi 116i Premium
            MASRAFSIZ ÇOK TEMİZ FULL","2011",106000,"Füme",62750,"14 Mayıs 2017"," Antalya Kumluca","BMW 1 Serisi 116i Pr",35.886722,40.301847
"216","Peugeot 407 1.6 HDi Executive
            ACAR OTOMOTIV'DEN 2007 PEJO 407 EXCULITIVE","2007",208000,"Siyah",35500,"14 Mayıs 2017"," Samsun Bafra","Peugeot 407 1.6 HDi ",32.9888319,37.8232112
"226","Skoda Favorit 1.3 LX
            ACAR OTOMOMOTIV'DEN 94 MODEL SKODA FRAVORIT 1.3 LX","1994",111111,"Kırmızı",6200,"14 Mayıs 2017"," Samsun Bafra","Skoda Favorit 1.3 LX",33.1145764,40.1329566
"236","Volkswagen Polo 1.6
            OTOMATİK POLO","1999",140000,"Mavi (metalik)",24250,"14 Mayıs 2017","Çorum Sungurlu","Volkswagen Polo 1.6",39.3124988,37.7506386
"210","Renault Clio 1.2 Joy
            2015 MODEL HATASIZ SIFIR AYARINDA
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",8000,"Beyaz",45000,"14 Mayıs 2017"," SamsunÇarşamba","Renault Clio 1.2 Joy",29.1739513,40.9498022
"37","Mazda 323 1.3
            ACAR OTOMOTIV'DEN 93 MODEL MAZDA 323","1993",111111,"Şampanya",12500,"14 Mayıs 2017"," Samsun Bafra","Mazda 323 1.3
     ",35.5220012,37.1034441
"47","Renault R 9 1.4 Spring
            ACAR OTOMOTIV'DEN 92 MODEL SPRING","1992",111111,"Beyaz",8000,"14 Mayıs 2017"," Samsun Bafra","Renault R 9 1.4 Spri",29.1739513,40.9498022
"56","Ford Focus 1.8 TDCi Comfort
            ACAR OTMOTIV'DEN 2003 MODEL FORD FOCUS DİZEL","2003",111111,"Yeşil",24000,"14 Mayıs 2017"," Samsun Bafra","Ford Focus 1.8 TDCi ",29.0576298,41.0189417
"77","Tofaş Şahin 1.6
            ACAR OTOMOTIV DEN 94 MODEL ŞAHİN","1994",111111,"Kırmızı",8750,"14 Mayıs 2017"," Samsun Bafra","Tofaş Şahin 1.6
   ",35.5220012,37.1034441
"87","Kia Rio 1.4 CRDi Concept
            KIA BAYİ TEKKAR'DAN 2015 MODEL CONCEPT PAKET RIO DİZEL..","2015",62000,"Beyaz",51700,"14 Mayıs 2017","İstanbul Kartal","Kia Rio 1.4 CRDi Con",27.2911248,38.3337361
"97","Tofaş Şahin 1.6
            KOŞUN-TUR OTOMOTİVDEN 1994 MODEL BEYAZ ŞAHİN","1994",99999,"Beyaz",9000,"14 Mayıs 2017","İzmir Aliağa","Tofaş Şahin 1.6
   ",35.2587964,36.9674013
"106","Mercedes - Benz 200 E
            KOŞUN-TUR OTOMOTİVDEN 1987 MERCEDES 200 E SUNROOFLU","1987",4e+05,"Mavi",19500,"14 Mayıs 2017","İzmir Aliağa","Mercedes - Benz 200 ",28.824722,41.0456474
"117","Renault R 9 1.4 Broadway
            KOŞUN-TUR OTOMOTİVDEN 1993 RENAULT 9 BRODWAY","1993",220000,"Gri",10500,"14 Mayıs 2017","İzmir Aliağa","Renault R 9 1.4 Broa",27.2911248,38.3337361
"127","Toyota Corona 2.0 XL
            KOŞUN-TUR OTOMOTİVDEN 1991 TOYOTA CORONA KLİMALI","1991",270000,"Mavi",11500,"14 Mayıs 2017","İzmir Aliağa","Toyota Corona 2.0 XL",28.824722,41.0456474
"137","Renault R 9 1.4 GTL
            KOŞUN-TUR OTOMOTİVDEN 1986 MODEL RENAULT 9 BRODWAY","1986",230000,"Beyaz",4900,"14 Mayıs 2017","İzmir Aliağa","Renault R 9 1.4 GTL",28.824722,41.0456474
"147","Renault R 19 1.6 Europa RNE
            KOŞUN-TUR OTOMOTİVDEN 1998 RENAULT 19 EUROPA 1.6 KLİMALI","1998",220000,"Füme",15900,"14 Mayıs 2017","İzmir Aliağa","Renault R 19 1.6 Eur",27.2911248,38.3337361
"157","Opel Vectra 1.8 GL
            KOŞUN-TUR OTOMOTİVDEN 1993 OPEL VECTRA ORJİNAL","1993",274000,"Kırmızı",13000,"14 Mayıs 2017","İzmir Aliağa","Opel Vectra 1.8 GL
",27.1382404,38.5183996
"167","Renault R 19 1.4 1.4i
            KOŞUN-TUR OTOMOTİVDEN 1997 RENAULT 19 BEYAZ HB","1997",224000,"Beyaz",13500,"14 Mayıs 2017","İzmir Aliağa","Renault R 19 1.4 1.4",29.0576298,40.9818744
"187","Opel Astra 1.6 CDX
            KOŞUN-TUR OTOMOTİVDEN 1999 OPEL ASTRA 1.6 CD OTOMATİK","1999",240000,"Mavi",23900,"14 Mayıs 2017","İzmir Aliağa","Opel Astra 1.6 CDX
",31.848216,37.41926
"197","Ford Escort 1.6 CLX
            KOŞUN-TUR OTOMOTİVDEN 1997 FORD ESCORT KLİMALI","1997",39000,"Mavi",14500,"14 Mayıs 2017","İzmir Aliağa","Ford Escort 1.6 CLX",32.9888319,39.0268717
"207","Volkswagen Polo 1.6 Classic
            KOŞUN-TUR OTOMOTİVDEN POLO 100 LUK","2001",217000,"Mavi",18500,"14 Mayıs 2017","İzmir Aliağa","Volkswagen Polo 1.6 ",28.7206721,40.9801984
"217","Renault Megane 1.5 dCi Sport Tourer GT-Line
            TEKKAR'DAN HATASIZ 60 BİN KM DE MEGANE GT-LİNE EDC","2014",60000,"Mavi",73500,"14 Mayıs 2017","İstanbul Kartal","Renault Megane 1.5 d",29.0576298,40.9818744
"227","Kia Rio 1.4 CRDi Concept
            KIA BAYİ TEKKAR'DAN 2015 MODEL CONCEPT PAKET RIO DİZEL...","2015",50340,"Beyaz",52000,"14 Mayıs 2017","İstanbul Kartal","Kia Rio 1.4 CRDi Con",34.7324106,39.9302773
"237","Toyota Corolla 1.4 D-4D Terra
            2006 CORALLA DİZEL KREDİ KARTINA TAKSİT YAPILIR","2009",390000,"Sarı",19750,"14 Mayıs 2017"," Ankara Altındağ","Toyota Corolla 1.4 D",28.7206721,40.9801984
"218","Kia Carens 2.0 CRDi LX
            2017 GÜMRÜK ÇIKIŞLI KİA CARENS GX MODELİ .7.KİŞİLİK 75.143 KM ORİJİNAL","2002",75143,"Gri",34750,"14 Mayıs 2017"," Adana Seyhan","Kia Carens 2.0 CRDi ",39.1889005,38.7312587
"38","Hyundai Getz 1.5 CRDi Classic
            2006 Getz 1.5 CRDI","2006",290000,"Beyaz",23000,"14 Mayıs 2017"," Manisa Salihli","Hyundai Getz 1.5 CRD",32.9212265,39.8451842
"48","Volkswagen Polo 1.4 Comfortline
            ÖZGÜNEŞ OTOMOTİV'DEN 2000 POLO CLASSİC","2000",192000,"Mavi",22500,"14 Mayıs 2017"," Eskişehir Odunpazarı","Volkswagen Polo 1.4 ",32.9212265,39.8451842
"57","Renault Fluence 1.5 dCi Icon
            TEKKAR'DAN 2016 FULL FLUENCE ICON DCI","2016",31000,"Siyah",69900,"14 Mayıs 2017","İstanbul Kartal","Renault Fluence 1.5 ",30.769476,36.8827594
"78","Volkswagen Jetta 1.2 TSi BlueMotion Trendline
            BİNGÖL AUTO'DAN 2015 VW  JETTA 1.2 TRENDLİNE BLUEMOTİON","2015",38000,"Beyaz",62500,"14 Mayıs 2017"," Elazığ Merkez","Volkswagen Jetta 1.2",39.3124988,37.7506386
"88","Renault Megane 1.5 dCi Privilege
            2006 MODEL FULL+FULL PRİVİLEGE MEGANE","2006",174000,"Gri (metalik)",33000,"14 Mayıs 2017"," SamsunÇarşamba","Renault Megane 1.5 d",39.3124988,37.7506386
"98","Toyota Corolla 1.6 XL
            YEDIIKLIM DEN ORİJİNAL ARAYANLARA HATASIZ BOYA SİZ KUSURSUZ COROLLA","1991",129000,"Bordo",21500,"14 Mayıs 2017"," GaziantepŞehitkamil","Toyota Corolla 1.6 X",35.2587964,36.9674013
"107","Opel Astra 1.3 CDTI Cosmo
            2013 MODEL COSMO PAKET FULL+FULL ASTRA","2013",110000,"Kırmızı",58000,"14 Mayıs 2017"," SamsunÇarşamba","Opel Astra 1.3 CDTI ",35.2587964,36.9674013
"118","Renault Megane 1.6 Authentique
            YEDİİKLİM DEN SORUNSUZ 2007 MEGAN","2007",182000,"Siyah",23500,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault Megane 1.6 A",32.9888319,37.8232112
"128","Toyota Corolla 1.4 D-4D Comfort
            BAKIMLI MASRAFSIZ","2011",114000,"Beyaz",48900,"14 Mayıs 2017"," Antalya Kumluca","Toyota Corolla 1.4 D",36.470248,37.2522089
"138","Volkswagen Passat 1.6 TDi BlueMotion Comfortline
            PASSAT  2015 MODEL  OTOMOTİK 1.6TDİ COMFORTLİNE  DSG
                
                            
                            İlk Sahibi","2015",38000,"Beyaz",130000,"14 Mayıs 2017"," Antalya Kepez","Volkswagen Passat 1.",39.1889005,38.7312587
"148","Opel Corsa 1.3 CDTI Essentia
            2013 MODEL OPEL CORSA 1.3 CDTI ESENTİA","2013",121000,"Beyaz",39750,"14 Mayıs 2017"," Kayseri Kocasinan","Opel Corsa 1.3 CDTI ",39.3124988,37.7506386
"158","Opel Insignia 1.6 T Cosmo
            CİHAN OTOMOTİVDEN 2015 İNSİGNİA TURBO COSMO OTOMATİK FUUL+FUUL
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",28000,"Beyaz",84000,"14 Mayıs 2017"," Yozgat Merkez","Opel Insignia 1.6 T ",28.8130675,40.142458
"168","Skoda SuperB 1.9 TDI Elegance
            CİHAN OTOMOTİVDEN 2007 SKODA SUPERB ELEGANCE OTOMATİK HATASIZ","2007",290000,"Siyah",44250,"14 Mayıs 2017"," Yozgat Merkez","Skoda SuperB 1.9 TDI",28.824722,41.0456474
"188","Fiat Punto Grande 1.4 Fire S5
            2012 PUNTO 1.4 FİRE S&S STAR-STOPLU ÇOK TEMİZ ARAÇ TAKAS OLUR","2012",76000,"Beyaz",30500,"14 Mayıs 2017"," Tekirdağ Marmaraereğlisi","Fiat Punto Grande 1.",39.3124988,37.7506386
"198","Renault R 9 1.4 Spring
            ORJİNAL SPRING","1994",270000,"Beyaz",9000,"14 Mayıs 2017","İzmir Karabağlar","Renault R 9 1.4 Spri",28.824722,41.0456474
"208","Fiat Linea 1.3 Multijet Active Plus
            2013 MODEL FİAT LİNEA 1.3 MULTİJET 95 BEYGİR HATASIZ BOYASIZ","2013",120000,"Beyaz",36000,"14 Mayıs 2017"," Kayseri Kocasinan","Fiat Linea 1.3 Multi",35.2587964,36.9674013
"219","Volkswagen Passat 1.4 TSi BlueMotion Trendline
            2010 MODEL PASSAT 1.4 TSİ TRENDILINE 92.500 KM ORJİNAL","2010",94000,"Gri",57500,"14 Mayıs 2017"," Adana Seyhan","Volkswagen Passat 1.",39.3124988,37.7506386
"228","Audi A3 1.6 TDI Sportback Attraction
            2013 MODEL A3 Sportback 1.6 TDI Attraction S-Tronic 36.000 KM","2013",36000,"Beyaz",87000,"14 Mayıs 2017"," Adana Seyhan","Audi A3 1.6 TDI Spor",39.3124988,37.7506386
"238","Hyundai Accent 1.3 LS
            DEĞİŞENSİZ MASRAFSIZ BAKIMLI ACCENT","1999",174000,"Gri (Gümüş)",16750,"14 Mayıs 2017","Çorum Sungurlu","Hyundai Accent 1.3 L",39.3124988,37.7506386
"220","Ford Focus 1.6 TDCi Collection
            YEDİİKLİM DEN BOYASIZ HATASIZ FOCUS","2011",210000,"Gri (Gümüş)",42000,"14 Mayıs 2017"," GaziantepŞehitkamil","Ford Focus 1.6 TDCi ",39.1889005,38.7312587
"39","Ford Focus 1.6 TDCi Trend
            2010 MODEL  FOCUS  1.6 DCİ ORJİNAL  ARAÇ  TRENT  MODELİ","2011",194000,"Mavi (metalik)",40950,"14 Mayıs 2017"," Antalya Kepez","Ford Focus 1.6 TDCi ",28.824722,41.0456474
"49","Hyundai i20 1.2 D-CVVT Sense
            Satılık Hyundai i20 Sense 
                
                            
                            İlk Sahibi","2014",61000,"Beyaz",38750,"14 Mayıs 2017"," Manisa Yunusemre","Hyundai i20 1.2 D-CV",37.796949,37.009926
"58","Volkswagen Jetta 1.6 Primeline
            Sıfır Gibi JETTA","2009",135000,"Füme",43000,"14 Mayıs 2017","İstanbul Eyüp","Volkswagen Jetta 1.6",30.4154737,40.8291144
"79","Fiat Tipo 1.6 SLX
            98 model değişensiz klimalı beyaz mp","1998",240000,"Beyaz",17300,"14 Mayıs 2017"," Ankara Sincan","Fiat Tipo 1.6 SLX
 ",32.9888319,37.8232112
"89","Renault Megane 1.5 dCi Expression
            İlk sahibinden Tertemiz Megane 3
                
                            
                            İlk Sahibi","2012",74000,"Beyaz",51250,"14 Mayıs 2017"," Aydın Efeler","Renault Megane 1.5 d",27.1382404,38.3231215
"99","Citroen C3 1.4 HDi X Furio
            Temiz Aile Arabasi","2007",109000,"Gri (Gümüş)",29750,"14 Mayıs 2017","İstanbul Fatih","Citroen C3 1.4 HDi X",27.179913,39.121449
"108","Volkswagen Passat 1.6 FSi Comfortline
            2006 passat 16 FSİ manuel vites  Acil Acil","2006",113000,"Füme",37500,"14 Mayıs 2017"," GaziantepŞahinbey","Volkswagen Passat 1.",30.5256311,39.7667061
"119","Ford Fiesta 1.5 TDCi Trend X
            2014 MODEL 76 BİN KMDE FİESTAA TREND X PAKET BU FİYATA KAÇMAZZZZ","2014",76000,"Beyaz",36250,"14 Mayıs 2017"," GaziantepŞehitkamil","Ford Fiesta 1.5 TDCi",30.769476,36.8827594
"129","Renault Laguna 1.6 RXE
            Sahibinden satılık tertemiz Renault Laguna 1.6motor","2001",195000,"Gri",18500,"14 Mayıs 2017"," Diyarbakır Bağlar","Renault Laguna 1.6 R",33.1145764,40.1329566
"139","Toyota Auris 1.6 Comfort
            Öğretmenden Toyota Auris","2008",148500,"Gri",40000,"14 Mayıs 2017","Şırnak Silopi","Toyota Auris 1.6 Com",28.824722,41.0456474
"149","Renault Symbol 1.5 dCi Authentique
            İhtiyaçtan satlik cam gibi symbol","2008",210000,"Gri (Gümüş)",23500,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault Symbol 1.5 d",32.9212265,39.8451842
"159","Honda Civic 1.5 EL
            Honda civciv","1993",375,"Bordo",20000,"14 Mayıs 2017"," Ankara Keçiören","Honda Civic 1.5 EL
",28.5564526,41.0534024
"169","Fiat Linea 1.6 Multijet Emotion Plus
            BEYAZ KELEBEK 1.6 FİAT LİNEA 6 İLERİ TERTEMİZ DEĞİŞENSİZ ORİJİNAL ALICIYA HAYIRLISI OLSUN","2012",169000,"Beyaz",35300,"14 Mayıs 2017","İzmir Buca","Fiat Linea 1.6 Multi",41.213997,37.0696439
"189","Ford Taunus 1.6 S
            İKİNCİ SAHİBİNDEN MOTOR HİÇ ELENMEMİŞ 97.000 KM DEĞİŞEN YOK","1990",97000,"Beyaz",12750,"14 Mayıs 2017","İzmir Karabağlar","Ford Taunus 1.6 S
 ",30.589834,37.456548
"199","Volkswagen Bora 1.6 Pacific
            Bora Pacific 2005
                
                            
                            İlk Sahibi","2005",73000,"Gri (Gümüş)",38000,"14 Mayıs 2017"," AydınÇine","Volkswagen Bora 1.6 ",31.8473744,41.3541425
"209","Opel Astra 1.6 Essentia
            İlk sahibi memurdan degisensiz orjinal astra
                
                            
                            İlk Sahibi","2012",59000,"Gri (Gümüş)",44500,"14 Mayıs 2017","İzmir Bornova","Opel Astra 1.6 Essen",29.1782018,41.1429436
"2110","Fiat Linea 1.3 Multijet Urban
            Sahibinden Linea ACİL SATILIK","2014",99700,"Beyaz",42000,"14 Mayıs 2017"," Bursa Osmangazi","Fiat Linea 1.3 Multi",35.4343604,36.9075903
"229","Toyota Corolla 1.6 XL
            Gel gör al git petrolün yolunu unutturanlardan","1991",2e+05,"Beyaz",18750,"14 Mayıs 2017"," Osmaniye Düziçi","Toyota Corolla 1.6 X",30.285765,36.366948
"239","BMW 5 Serisi 528i Standart
            168 bin Km BMW 528i otomatik","1999",168000,"Lacivert",45900,"14 Mayıs 2017"," Ankara Etimesgut","BMW 5 Serisi 528i St",27.2911248,38.3337361
"230","Peugeot 301 1.6 HDi Allure
            ACİL ACİL MEMURDAN TEMİZ 2015 ÇIKIŞLI DÜŞÜK KM MAKAM ARACI
                
                            
                            İlk Sahibi","2014",36000,"Siyah",45850,"14 Mayıs 2017"," Mersin Tarsus","Peugeot 301 1.6 HDi ",37.086224,39.6896148
"310","Opel Vectra 1.6 Comfort
            sahiibinden orjinal vectra","2001",290000,"Gri",25000,"14 Mayıs 2017"," Bartın Ulus","Opel Vectra 1.6 Comf",28.405177,40.0394409
